104.18.224.0:443#CF优选IP 6ms
172.64.146.178:443#CF优选IP 126ms
172.64.146.236:443#CF优选IP 126ms
172.64.146.152:443#CF优选IP 127ms
172.64.146.59:443#CF优选IP 127ms
104.17.113.35:443#CF优选IP 127ms
104.25.255.245:443#CF优选IP 127ms
104.18.169.28:443#CF优选IP 127ms
172.64.146.6:443#CF优选IP 128ms
172.64.146.215:443#CF优选IP 128ms
172.64.146.173:443#CF优选IP 128ms
104.18.147.121:443#CF优选IP 128ms
172.64.146.214:443#CF优选IP 128ms
172.64.146.221:443#CF优选IP 129ms
172.64.146.192:443#CF优选IP 129ms
104.17.141.78:443#CF优选IP 129ms
104.17.200.222:443#CF优选IP 129ms
172.64.146.213:443#CF优选IP 130ms
104.17.209.252:443#CF优选IP 130ms
104.25.252.129:443#CF优选IP 130ms
172.64.146.63:443#CF优选IP 131ms
172.64.146.121:443#CF优选IP 132ms
104.18.148.77:443#CF优选IP 132ms
172.64.146.61:443#CF优选IP 132ms
104.18.163.39:443#CF优选IP 132ms
104.16.157.228:443#CF优选IP 132ms
172.64.146.113:443#CF优选IP 133ms
172.64.146.103:443#CF优选IP 133ms
172.64.146.241:443#CF优选IP 133ms
104.17.134.39:443#CF优选IP 133ms
172.64.146.202:443#CF优选IP 133ms
172.64.146.162:443#CF优选IP 134ms
104.17.142.119:443#CF优选IP 134ms
172.64.146.179:443#CF优选IP 134ms
104.18.146.137:443#CF优选IP 136ms
172.64.146.242:443#CF优选IP 137ms
104.17.136.14:443#CF优选IP 138ms
172.64.146.137:443#CF优选IP 139ms
172.64.146.154:443#CF优选IP 139ms
172.64.146.81:443#CF优选IP 140ms
172.64.146.186:443#CF优选IP 140ms
172.64.146.42:443#CF优选IP 140ms
172.64.146.144:443#CF优选IP 141ms
172.64.146.41:443#CF优选IP 141ms
104.18.158.102:443#CF优选IP 142ms
172.64.146.78:443#CF优选IP 142ms
172.64.146.199:443#CF优选IP 142ms
104.17.220.77:443#CF优选IP 142ms
172.64.146.11:443#CF优选IP 143ms
104.17.141.89:443#CF优选IP 145ms
104.18.33.121:443#CF优选IP 148ms
104.16.10.0:443#CF优选IP 150ms
172.64.146.160:443#CF优选IP 150ms
104.19.160.199:443#CF优选IP 160ms
104.17.226.120:443#CF优选IP 161ms
104.18.176.129:443#CF优选IP 162ms
104.19.166.76:443#CF优选IP 167ms
104.17.243.203:443#CF优选IP 168ms
172.67.65.11:443#CF优选IP 170ms
104.16.45.41:443#CF优选IP 171ms
104.18.70.95:443#CF优选IP 176ms
172.64.229.162:443#CF优选IP 183ms
172.64.229.170:443#CF优选IP 187ms
172.64.229.40:443#CF优选IP 193ms
104.17.59.154:443#CF优选IP 194ms
104.18.222.34:443#CF优选IP 194ms
172.64.229.169:443#CF优选IP 195ms
104.16.233.63:443#CF优选IP 196ms
104.18.96.37:443#CF优选IP 197ms
104.19.38.237:443#CF优选IP 197ms
104.17.1.18:443#CF优选IP 197ms
104.20.7.122:443#CF优选IP 198ms
104.16.185.24:443#CF优选IP 199ms
104.17.36.190:443#CF优选IP 200ms
104.16.179.187:443#CF优选IP 201ms
104.17.37.93:443#CF优选IP 203ms
104.17.92.152:443#CF优选IP 203ms
104.18.240.244:443#CF优选IP 204ms
104.19.244.8:443#CF优选IP 204ms
104.17.146.45:443#CF优选IP 206ms
104.16.198.32:443#CF优选IP 209ms
104.19.62.211:443#CF优选IP 210ms
104.17.10.22:443#CF优选IP 212ms
104.16.13.57:443#CF优选IP 227ms
104.19.157.225:443#CF优选IP 230ms
104.18.112.12:443#CF优选IP 230ms
172.64.229.150:443#CF优选IP 230ms
172.64.229.143:443#CF优选IP 232ms
172.64.229.32:443#CF优选IP 233ms
104.17.115.220:443#CF优选IP 233ms
172.64.229.69:443#CF优选IP 234ms
104.16.101.210:443#CF优选IP 235ms
172.64.229.28:443#CF优选IP 235ms
172.64.229.254:443#CF优选IP 236ms
172.64.229.103:443#CF优选IP 238ms
104.16.97.40:443#CF优选IP 238ms
172.64.229.245:443#CF优选IP 238ms
104.19.237.82:443#CF优选IP 241ms
104.16.145.128:443#CF优选IP 246ms
104.25.255.9:443#CF优选IP 248ms
172.64.229.50:443#CF优选IP 250ms
104.17.152.104:443#CF优选IP 253ms
172.64.146.31:443#CF优选IP 254ms
172.64.229.133:443#CF优选IP 258ms
104.19.214.201:443#CF优选IP 260ms
104.19.195.0:443#CF优选IP 262ms
172.64.146.131:443#CF优选IP 270ms
104.18.150.158:443#CF优选IP 271ms
104.18.171.20:443#CF优选IP 277ms
104.16.37.122:443#CF优选IP 317ms
172.64.229.182:443#CF优选IP 317ms
104.21.226.27:443#CF优选IP 319ms
104.17.153.106:443#CF优选IP 319ms
172.67.150.69:443#CF优选IP 320ms
104.18.203.225:443#CF优选IP 322ms
104.21.19.205:443#CF优选IP 323ms
104.18.12.172:443#CF优选IP 323ms
104.21.231.178:443#CF优选IP 324ms
172.67.66.204:443#CF优选IP 324ms
104.21.239.222:443#CF优选IP 325ms
104.18.5.112:443#CF优选IP 326ms
104.21.22.23:443#CF优选IP 327ms
104.17.241.143:443#CF优选IP 327ms
172.67.64.151:443#CF优选IP 327ms
104.17.228.11:443#CF优选IP 327ms
104.18.5.23:443#CF优选IP 327ms
172.67.77.86:443#CF优选IP 327ms
104.16.44.211:443#CF优选IP 328ms
104.26.7.70:443#CF优选IP 328ms
172.67.168.225:443#CF优选IP 328ms
104.21.21.183:443#CF优选IP 328ms
104.16.219.52:443#CF优选IP 328ms
104.21.224.34:443#CF优选IP 329ms
172.67.79.23:443#CF优选IP 329ms
104.19.162.35:443#CF优选IP 329ms
104.16.224.191:443#CF优选IP 329ms
104.18.69.255:443#CF优选IP 329ms
104.18.65.254:443#CF优选IP 329ms
104.18.77.168:443#CF优选IP 330ms
104.19.160.55:443#CF优选IP 330ms
172.67.78.91:443#CF优选IP 332ms
104.17.228.230:443#CF优选IP 332ms
104.16.44.243:443#CF优选IP 332ms
104.21.29.186:443#CF优选IP 333ms
172.67.154.147:443#CF优选IP 334ms
104.18.3.96:443#CF优选IP 334ms
104.18.11.192:443#CF优选IP 334ms
104.26.10.85:443#CF优选IP 335ms
104.16.119.40:443#CF优选IP 335ms
162.159.153.194:443#CF优选IP 336ms
104.18.65.235:443#CF优选IP 336ms
104.18.11.210:443#CF优选IP 337ms
104.21.20.92:443#CF优选IP 337ms
104.21.239.26:443#CF优选IP 338ms
104.16.50.216:443#CF优选IP 338ms
104.17.229.139:443#CF优选IP 338ms
104.21.22.122:443#CF优选IP 339ms
172.67.173.138:443#CF优选IP 339ms
104.21.233.198:443#CF优选IP 340ms
104.26.5.220:443#CF优选IP 340ms
104.19.43.121:443#CF优选IP 340ms
104.18.194.19:443#CF优选IP 341ms
104.18.73.46:443#CF优选IP 342ms
162.159.152.144:443#CF优选IP 344ms
104.19.50.204:443#CF优选IP 344ms
162.159.152.83:443#CF优选IP 350ms
162.159.153.14:443#CF优选IP 351ms
162.159.152.12:443#CF优选IP 358ms
162.159.152.243:443#CF优选IP 359ms
162.159.153.247:443#CF优选IP 359ms
162.159.153.57:443#CF优选IP 360ms
162.159.152.100:443#CF优选IP 362ms
162.159.153.38:443#CF优选IP 362ms
162.159.152.48:443#CF优选IP 362ms
162.159.152.228:443#CF优选IP 362ms
172.64.229.6:443#CF优选IP 363ms
162.159.153.50:443#CF优选IP 363ms
104.17.163.156:443#CF优选IP 366ms
162.159.152.254:443#CF优选IP 368ms
162.159.152.134:443#CF优选IP 368ms
162.159.152.9:443#CF优选IP 368ms
162.159.153.225:443#CF优选IP 368ms
162.159.152.71:443#CF优选IP 368ms
162.159.152.33:443#CF优选IP 368ms
104.19.103.157:443#CF优选IP 369ms
162.159.153.246:443#CF优选IP 370ms
162.159.152.222:443#CF优选IP 370ms
162.159.153.148:443#CF优选IP 371ms
162.159.153.178:443#CF优选IP 371ms
162.159.153.139:443#CF优选IP 373ms
162.159.152.58:443#CF优选IP 374ms
162.159.152.216:443#CF优选IP 375ms
172.64.229.108:443#CF优选IP 375ms
162.159.152.225:443#CF优选IP 376ms
162.159.153.20:443#CF优选IP 376ms
104.17.41.32:443#CF优选IP 377ms
162.159.153.66:443#CF优选IP 377ms
104.16.151.181:443#CF优选IP 377ms
172.64.229.173:443#CF优选IP 378ms
104.25.204.180:443#CF优选IP 378ms
104.24.181.204:443#CF优选IP 380ms
162.159.152.73:443#CF优选IP 380ms
104.25.0.189:443#CF优选IP 381ms
104.27.89.217:443#CF优选IP 381ms
104.19.88.179:443#CF优选IP 381ms
172.66.151.207:443#CF优选IP 381ms
162.159.153.250:443#CF优选IP 381ms
104.19.99.174:443#CF优选IP 382ms
104.25.41.135:443#CF优选IP 383ms
104.25.130.236:443#CF优选IP 383ms
104.25.45.115:443#CF优选IP 383ms
104.25.105.215:443#CF优选IP 384ms
104.25.184.31:443#CF优选IP 385ms
162.159.153.166:443#CF优选IP 385ms
104.27.15.38:443#CF优选IP 385ms
172.66.158.219:443#CF优选IP 386ms
104.27.197.89:443#CF优选IP 386ms
104.25.46.17:443#CF优选IP 386ms
104.25.232.137:443#CF优选IP 387ms
104.24.186.174:443#CF优选IP 387ms
104.17.77.84:443#CF优选IP 388ms
104.24.190.35:443#CF优选IP 388ms
104.24.22.249:443#CF优选IP 388ms
104.24.195.159:443#CF优选IP 388ms
104.25.63.77:443#CF优选IP 390ms
104.16.188.155:443#CF优选IP 390ms
104.20.18.172:443#CF优选IP 390ms
104.24.160.142:443#CF优选IP 390ms
172.66.163.121:443#CF优选IP 390ms
104.25.219.120:443#CF优选IP 390ms
104.18.254.167:443#CF优选IP 391ms
104.27.104.32:443#CF优选IP 391ms
104.25.190.176:443#CF优选IP 391ms
104.25.150.217:443#CF优选IP 391ms
172.67.106.150:443#CF优选IP 391ms
104.21.51.11:443#CF优选IP 392ms
104.27.58.166:443#CF优选IP 392ms
104.16.81.196:443#CF优选IP 392ms
104.19.187.63:443#CF优选IP 392ms
104.25.174.54:443#CF优选IP 393ms
172.67.108.75:443#CF优选IP 393ms
104.16.192.254:443#CF优选IP 393ms
104.19.125.16:443#CF优选IP 393ms
104.27.33.169:443#CF优选IP 394ms
104.21.62.253:443#CF优选IP 394ms
172.67.218.201:443#CF优选IP 394ms
104.21.96.58:443#CF优选IP 394ms
104.27.80.16:443#CF优选IP 395ms
104.24.129.229:443#CF优选IP 395ms
104.19.126.56:443#CF优选IP 395ms
104.19.16.17:443#CF优选IP 395ms
104.24.185.31:443#CF优选IP 395ms
104.25.174.41:443#CF优选IP 396ms
104.19.118.217:443#CF优选IP 396ms
104.19.122.48:443#CF优选IP 396ms
104.24.11.108:443#CF优选IP 396ms
104.16.231.223:443#CF优选IP 396ms
104.19.64.64:443#CF优选IP 396ms
172.67.90.169:443#CF优选IP 397ms
104.19.106.221:443#CF优选IP 397ms
104.27.205.254:443#CF优选IP 397ms
104.16.79.178:443#CF优选IP 397ms
104.25.44.153:443#CF优选IP 397ms
104.27.103.119:443#CF优选IP 397ms
104.25.106.110:443#CF优选IP 397ms
172.66.193.153:443#CF优选IP 397ms
104.25.12.160:443#CF优选IP 397ms
104.24.200.127:443#CF优选IP 398ms
104.19.81.130:443#CF优选IP 398ms
104.27.12.248:443#CF优选IP 398ms
104.24.145.230:443#CF优选IP 398ms
104.18.85.149:443#CF优选IP 398ms
104.18.88.216:443#CF优选IP 398ms
104.21.6.197:443#CF优选IP 398ms
104.24.27.214:443#CF优选IP 398ms
172.66.200.63:443#CF优选IP 399ms
104.24.10.214:443#CF优选IP 399ms
104.16.67.207:443#CF优选IP 399ms
104.25.0.86:443#CF优选IP 400ms
104.25.225.179:443#CF优选IP 400ms
104.18.248.14:443#CF优选IP 401ms
104.16.122.140:443#CF优选IP 401ms
104.19.69.79:443#CF优选IP 401ms
104.21.84.168:443#CF优选IP 401ms
104.21.49.229:443#CF优选IP 402ms
104.24.255.242:443#CF优选IP 402ms
104.27.106.127:443#CF优选IP 402ms
104.18.90.178:443#CF优选IP 402ms
104.21.98.239:443#CF优选IP 403ms
104.27.195.74:443#CF优选IP 403ms
104.18.204.26:443#CF优选IP 403ms
104.19.120.88:443#CF优选IP 403ms
104.21.99.25:443#CF优选IP 403ms
104.27.3.215:443#CF优选IP 403ms
104.21.53.138:443#CF优选IP 404ms
104.27.44.127:443#CF优选IP 404ms
104.16.232.162:443#CF优选IP 405ms
172.67.123.16:443#CF优选IP 405ms
104.27.98.2:443#CF优选IP 405ms
104.16.193.124:443#CF优选IP 406ms
104.24.161.207:443#CF优选IP 406ms
104.19.77.19:443#CF优选IP 406ms
104.16.77.4:443#CF优选IP 406ms
104.21.45.245:443#CF优选IP 406ms
104.18.212.244:443#CF优选IP 407ms
104.20.10.255:443#CF优选IP 407ms
104.21.41.86:443#CF优选IP 407ms
104.21.75.163:443#CF优选IP 407ms
104.16.77.249:443#CF优选IP 408ms
104.21.94.223:443#CF优选IP 408ms
104.16.162.251:443#CF优选IP 408ms
104.21.91.35:443#CF优选IP 408ms
104.24.22.30:443#CF优选IP 408ms
104.16.164.129:443#CF优选IP 408ms
104.16.161.195:443#CF优选IP 408ms
104.18.96.239:443#CF优选IP 409ms
104.25.42.52:443#CF优选IP 409ms
104.21.77.204:443#CF优选IP 409ms
104.21.74.73:443#CF优选IP 410ms
104.19.93.81:443#CF优选IP 411ms
104.27.40.71:443#CF优选IP 411ms
104.27.20.20:443#CF优选IP 412ms
104.17.73.82:443#CF优选IP 412ms
104.16.231.124:443#CF优选IP 412ms
104.16.207.79:443#CF优选IP 412ms
104.17.71.224:443#CF优选IP 412ms
104.19.114.215:443#CF优选IP 412ms
104.19.0.151:443#CF优选IP 412ms
104.19.185.170:443#CF优选IP 413ms
172.67.244.10:443#CF优选IP 413ms
104.25.233.30:443#CF优选IP 413ms
104.18.250.82:443#CF优选IP 414ms
104.25.199.158:443#CF优选IP 414ms
104.19.109.87:443#CF优选IP 415ms
104.16.20.12:443#CF优选IP 415ms
172.66.197.121:443#CF优选IP 419ms
104.25.183.73:443#CF优选IP 421ms
104.25.95.82:443#CF优选IP 422ms
104.25.195.76:443#CF优选IP 422ms
104.20.22.104:443#CF优选IP 422ms
104.16.236.71:443#CF优选IP 423ms
104.27.43.22:443#CF优选IP 426ms
104.19.134.203:443#CF优选IP 430ms
104.19.135.198:443#CF优选IP 431ms
104.19.137.213:443#CF优选IP 442ms
104.16.132.140:443#CF优选IP 446ms
104.20.50.186:443#CF优选IP 447ms
104.20.56.27:443#CF优选IP 450ms
104.20.48.177:443#CF优选IP 450ms
104.20.56.142:443#CF优选IP 451ms
104.16.107.175:443#CF优选IP 453ms
104.20.56.114:443#CF优选IP 454ms
172.67.128.228:443#CF优选IP 454ms
172.64.229.183:443#CF优选IP 454ms
172.67.196.247:443#CF优选IP 455ms
104.20.59.247:443#CF优选IP 456ms
172.67.140.247:443#CF优选IP 458ms
104.16.145.172:443#CF优选IP 459ms
104.16.97.9:443#CF优选IP 460ms
172.67.140.125:443#CF优选IP 460ms
104.20.59.70:443#CF优选IP 460ms
172.67.133.97:443#CF优选IP 461ms
104.16.97.242:443#CF优选IP 462ms
104.16.107.234:443#CF优选IP 463ms
172.67.195.32:443#CF优选IP 465ms
172.67.136.225:443#CF优选IP 466ms
104.18.116.243:443#CF优选IP 467ms
104.16.135.157:443#CF优选IP 469ms
104.18.112.184:443#CF优选IP 470ms
104.17.175.223:443#CF优选IP 473ms
