104.17.132.208:2083#CF优选IP 11ms
172.67.16.86:2083#CF优选IP 182ms
104.20.6.190:2083#CF优选IP 183ms
104.17.81.69:2083#CF优选IP 183ms
104.18.128.29:2083#CF优选IP 184ms
104.16.127.167:2083#CF优选IP 185ms
104.25.47.9:2083#CF优选IP 185ms
104.16.180.116:2083#CF优选IP 185ms
104.16.76.87:2083#CF优选IP 185ms
172.67.18.103:2083#CF优选IP 186ms
172.66.131.194:2083#CF优选IP 186ms
104.16.191.103:2083#CF优选IP 186ms
104.17.93.185:2083#CF优选IP 187ms
104.17.46.17:2083#CF优选IP 187ms
104.18.250.224:2083#CF优选IP 187ms
104.17.92.16:2083#CF优选IP 188ms
104.16.92.37:2083#CF优选IP 191ms
104.16.3.145:2083#CF优选IP 221ms
104.19.238.11:2083#CF优选IP 222ms
104.19.237.52:2083#CF优选IP 224ms
104.16.96.71:2083#CF优选IP 225ms
162.159.34.221:2083#CF优选IP 226ms
104.16.137.85:2083#CF优选IP 226ms
104.16.138.155:2083#CF优选IP 226ms
104.16.102.119:2083#CF优选IP 227ms
104.18.68.9:2083#CF优选IP 227ms
104.18.160.128:2083#CF优选IP 227ms
104.16.110.102:2083#CF优选IP 228ms
104.18.78.148:2083#CF优选IP 230ms
104.18.124.34:2083#CF优选IP 231ms
104.18.152.245:2083#CF优选IP 233ms
104.19.232.45:2083#CF优选IP 233ms
104.18.229.35:2083#CF优选IP 235ms
104.18.224.94:2083#CF优选IP 237ms
104.18.168.247:2083#CF优选IP 239ms
172.66.43.225:2083#CF优选IP 242ms
172.67.132.75:2083#CF优选IP 251ms
104.19.169.30:2083#CF优选IP 313ms
104.26.7.82:2083#CF优选IP 314ms
104.17.245.242:2083#CF优选IP 315ms
104.19.175.255:2083#CF优选IP 315ms
104.21.27.114:2083#CF优选IP 316ms
172.67.155.111:2083#CF优选IP 316ms
104.16.56.215:2083#CF优选IP 316ms
172.67.64.155:2083#CF优选IP 317ms
104.16.44.127:2083#CF优选IP 317ms
104.17.243.85:2083#CF优选IP 318ms
172.67.175.98:2083#CF优选IP 318ms
104.22.60.169:2083#CF优选IP 318ms
172.67.72.32:2083#CF优选IP 319ms
172.67.69.55:2083#CF优选IP 319ms
172.67.157.39:2083#CF优选IP 320ms
104.26.1.224:2083#CF优选IP 321ms
104.17.237.146:2083#CF优选IP 321ms
104.16.42.234:2083#CF优选IP 321ms
104.17.245.25:2083#CF优选IP 321ms
104.16.51.187:2083#CF优选IP 321ms
104.21.17.25:2083#CF优选IP 321ms
104.17.224.28:2083#CF优选IP 321ms
104.18.63.0:2083#CF优选IP 321ms
104.18.15.122:2083#CF优选IP 321ms
104.26.12.38:2083#CF优选IP 322ms
104.21.28.194:2083#CF优选IP 322ms
104.17.224.141:2083#CF优选IP 322ms
172.67.163.47:2083#CF优选IP 323ms
172.67.173.18:2083#CF优选IP 323ms
104.16.53.190:2083#CF优选IP 323ms
104.21.27.148:2083#CF优选IP 323ms
104.17.245.230:2083#CF优选IP 324ms
172.67.170.50:2083#CF优选IP 324ms
172.67.64.109:2083#CF优选IP 325ms
104.19.165.67:2083#CF优选IP 325ms
104.16.39.66:2083#CF优选IP 325ms
104.17.239.254:2083#CF优选IP 325ms
104.16.39.202:2083#CF优选IP 326ms
104.21.29.84:2083#CF优选IP 326ms
104.21.238.58:2083#CF优选IP 327ms
172.67.154.25:2083#CF优选IP 327ms
172.67.148.38:2083#CF优选IP 328ms
104.19.162.143:2083#CF优选IP 329ms
104.21.24.246:2083#CF优选IP 329ms
104.16.46.12:2083#CF优选IP 330ms
104.19.168.81:2083#CF优选IP 330ms
104.22.63.102:2083#CF优选IP 332ms
104.21.25.249:2083#CF优选IP 334ms
104.17.235.53:2083#CF优选IP 335ms
104.27.11.108:2083#CF优选IP 344ms
104.24.11.60:2083#CF优选IP 344ms
172.67.222.143:2083#CF优选IP 345ms
104.16.170.208:2083#CF优选IP 345ms
104.24.186.221:2083#CF优选IP 346ms
104.21.222.29:2083#CF优选IP 346ms
104.16.223.181:2083#CF优选IP 347ms
104.21.199.8:2083#CF优选IP 347ms
104.17.0.72:2083#CF优选IP 348ms
104.21.58.32:2083#CF优选IP 348ms
172.67.44.33:2083#CF优选IP 348ms
104.21.90.210:2083#CF优选IP 348ms
104.25.52.143:2083#CF优选IP 348ms
104.27.43.241:2083#CF优选IP 348ms
104.27.199.251:2083#CF优选IP 349ms
104.19.65.57:2083#CF优选IP 349ms
104.21.83.2:2083#CF优选IP 349ms
104.25.205.31:2083#CF优选IP 349ms
104.19.26.201:2083#CF优选IP 349ms
104.21.106.226:2083#CF优选IP 349ms
104.24.153.81:2083#CF优选IP 349ms
104.25.83.243:2083#CF优选IP 349ms
104.24.141.56:2083#CF优选IP 349ms
104.24.221.138:2083#CF优选IP 350ms
104.27.100.163:2083#CF优选IP 350ms
172.66.194.245:2083#CF优选IP 350ms
104.18.41.7:2083#CF优选IP 350ms
104.21.99.8:2083#CF优选IP 350ms
104.24.170.15:2083#CF优选IP 350ms
104.18.138.36:2083#CF优选IP 350ms
104.21.44.117:2083#CF优选IP 350ms
104.21.70.50:2083#CF优选IP 351ms
104.25.48.25:2083#CF优选IP 351ms
104.22.8.115:2083#CF优选IP 351ms
104.25.220.217:2083#CF优选IP 351ms
104.19.74.72:2083#CF优选IP 351ms
104.27.31.238:2083#CF优选IP 351ms
104.24.168.70:2083#CF优选IP 351ms
104.17.75.219:2083#CF优选IP 351ms
104.24.255.64:2083#CF优选IP 351ms
104.25.58.134:2083#CF优选IP 351ms
104.24.45.140:2083#CF优选IP 352ms
104.21.103.220:2083#CF优选IP 352ms
104.24.15.65:2083#CF优选IP 352ms
172.66.142.117:2083#CF优选IP 352ms
104.16.198.143:2083#CF优选IP 352ms
172.67.114.85:2083#CF优选IP 352ms
104.21.48.168:2083#CF优选IP 352ms
172.66.141.168:2083#CF优选IP 352ms
104.16.85.217:2083#CF优选IP 352ms
104.22.9.155:2083#CF优选IP 352ms
172.66.204.14:2083#CF优选IP 352ms
104.25.109.185:2083#CF优选IP 352ms
104.27.203.189:2083#CF优选IP 352ms
104.27.72.144:2083#CF优选IP 352ms
104.19.112.56:2083#CF优选IP 352ms
172.67.55.176:2083#CF优选IP 353ms
104.18.209.94:2083#CF优选IP 353ms
172.66.153.10:2083#CF优选IP 353ms
104.18.104.180:2083#CF优选IP 353ms
104.22.8.42:2083#CF优选IP 353ms
172.67.35.71:2083#CF优选IP 353ms
172.67.51.55:2083#CF优选IP 353ms
104.16.93.186:2083#CF优选IP 353ms
104.17.76.90:2083#CF优选IP 353ms
104.16.67.151:2083#CF优选IP 354ms
104.18.211.186:2083#CF优选IP 354ms
104.22.20.13:2083#CF优选IP 354ms
172.67.230.80:2083#CF优选IP 354ms
104.16.119.243:2083#CF优选IP 354ms
104.18.36.112:2083#CF优选IP 354ms
104.21.222.224:2083#CF优选IP 354ms
104.21.38.31:2083#CF优选IP 354ms
104.24.144.235:2083#CF优选IP 354ms
104.24.206.219:2083#CF优选IP 354ms
172.67.221.101:2083#CF优选IP 354ms
172.67.250.250:2083#CF优选IP 354ms
104.17.12.253:2083#CF优选IP 354ms
104.24.237.63:2083#CF优选IP 354ms
104.24.233.128:2083#CF优选IP 354ms
104.27.34.151:2083#CF优选IP 354ms
104.17.68.181:2083#CF优选IP 354ms
104.21.41.172:2083#CF优选IP 354ms
104.17.8.173:2083#CF优选IP 354ms
104.24.222.167:2083#CF优选IP 354ms
104.24.144.8:2083#CF优选IP 354ms
172.66.0.77:2083#CF优选IP 354ms
104.21.40.220:2083#CF优选IP 354ms
104.16.192.216:2083#CF优选IP 355ms
104.19.181.60:2083#CF优选IP 355ms
172.67.242.255:2083#CF优选IP 355ms
104.18.136.145:2083#CF优选IP 355ms
104.18.195.171:2083#CF优选IP 355ms
104.25.148.122:2083#CF优选IP 355ms
104.22.18.123:2083#CF优选IP 355ms
172.67.191.88:2083#CF优选IP 355ms
104.25.151.137:2083#CF优选IP 355ms
172.67.116.178:2083#CF优选IP 355ms
104.18.206.185:2083#CF优选IP 355ms
104.22.4.100:2083#CF优选IP 355ms
104.16.226.82:2083#CF优选IP 355ms
104.17.89.252:2083#CF优选IP 355ms
104.21.74.134:2083#CF优选IP 355ms
104.27.42.244:2083#CF优选IP 355ms
172.67.209.114:2083#CF优选IP 355ms
104.25.120.72:2083#CF优选IP 356ms
104.24.67.82:2083#CF优选IP 356ms
104.24.17.39:2083#CF优选IP 356ms
172.66.203.31:2083#CF优选IP 356ms
104.16.120.145:2083#CF优选IP 356ms
104.19.95.194:2083#CF优选IP 356ms
104.24.187.148:2083#CF优选IP 356ms
172.66.193.112:2083#CF优选IP 356ms
104.16.211.84:2083#CF优选IP 356ms
104.18.206.188:2083#CF优选IP 356ms
104.21.80.214:2083#CF优选IP 356ms
104.21.123.76:2083#CF优选IP 356ms
104.19.127.188:2083#CF优选IP 356ms
104.21.218.244:2083#CF优选IP 356ms
104.24.212.198:2083#CF优选IP 356ms
104.25.64.75:2083#CF优选IP 356ms
104.24.192.19:2083#CF优选IP 356ms
104.25.95.122:2083#CF优选IP 356ms
104.21.202.236:2083#CF优选IP 357ms
104.19.67.144:2083#CF优选IP 357ms
104.16.237.28:2083#CF优选IP 357ms
104.17.10.200:2083#CF优选IP 357ms
104.17.67.6:2083#CF优选IP 357ms
104.19.87.27:2083#CF优选IP 357ms
172.66.209.82:2083#CF优选IP 357ms
104.17.86.195:2083#CF优选IP 357ms
104.24.76.126:2083#CF优选IP 357ms
104.24.83.83:2083#CF优选IP 357ms
104.25.52.44:2083#CF优选IP 357ms
104.25.34.48:2083#CF优选IP 357ms
104.24.18.193:2083#CF优选IP 357ms
104.25.175.191:2083#CF优选IP 357ms
104.25.136.148:2083#CF优选IP 357ms
172.67.110.134:2083#CF优选IP 357ms
104.24.64.54:2083#CF优选IP 357ms
104.21.198.41:2083#CF优选IP 358ms
162.159.5.237:2083#CF优选IP 358ms
172.67.23.43:2083#CF优选IP 358ms
104.24.59.122:2083#CF优选IP 358ms
172.67.45.217:2083#CF优选IP 358ms
104.22.24.148:2083#CF优选IP 358ms
104.25.128.7:2083#CF优选IP 358ms
104.21.105.212:2083#CF优选IP 358ms
104.18.255.40:2083#CF优选IP 358ms
172.67.61.1:2083#CF优选IP 358ms
104.21.215.179:2083#CF优选IP 358ms
104.24.9.215:2083#CF优选IP 358ms
104.27.63.94:2083#CF优选IP 358ms
104.27.58.221:2083#CF优选IP 358ms
104.27.202.96:2083#CF优选IP 358ms
104.22.24.106:2083#CF优选IP 358ms
104.25.121.28:2083#CF优选IP 358ms
104.27.117.212:2083#CF优选IP 358ms
172.66.199.218:2083#CF优选IP 358ms
104.21.204.33:2083#CF优选IP 358ms
104.24.244.82:2083#CF优选IP 358ms
104.27.77.199:2083#CF优选IP 358ms
162.159.15.113:2083#CF优选IP 358ms
104.19.254.245:2083#CF优选IP 359ms
104.24.79.173:2083#CF优选IP 359ms
104.25.70.104:2083#CF优选IP 359ms
104.22.14.39:2083#CF优选IP 359ms
104.24.35.207:2083#CF优选IP 359ms
172.67.234.41:2083#CF优选IP 359ms
104.16.222.43:2083#CF优选IP 359ms
104.19.116.61:2083#CF优选IP 359ms
104.21.221.53:2083#CF优选IP 359ms
104.25.235.162:2083#CF优选IP 359ms
104.24.163.125:2083#CF优选IP 359ms
104.25.214.250:2083#CF优选IP 359ms
172.67.235.163:2083#CF优选IP 359ms
104.16.86.188:2083#CF优选IP 359ms
104.18.253.110:2083#CF优选IP 359ms
104.21.92.243:2083#CF优选IP 359ms
104.18.108.153:2083#CF优选IP 360ms
104.22.30.233:2083#CF优选IP 360ms
104.21.36.46:2083#CF优选IP 360ms
104.22.7.76:2083#CF优选IP 360ms
104.24.39.10:2083#CF优选IP 360ms
104.24.77.42:2083#CF优选IP 360ms
172.66.193.70:2083#CF优选IP 360ms
172.67.180.66:2083#CF优选IP 360ms
104.24.213.149:2083#CF优选IP 360ms
104.21.198.211:2083#CF优选IP 360ms
104.22.9.229:2083#CF优选IP 360ms
104.21.12.5:2083#CF优选IP 360ms
104.27.54.206:2083#CF优选IP 360ms
172.66.165.39:2083#CF优选IP 360ms
104.21.37.164:2083#CF优选IP 360ms
104.25.218.197:2083#CF优选IP 360ms
104.27.7.72:2083#CF优选IP 360ms
162.159.1.22:2083#CF优选IP 360ms
104.21.104.59:2083#CF优选IP 360ms
104.16.228.56:2083#CF优选IP 361ms
104.19.121.251:2083#CF优选IP 361ms
104.24.157.221:2083#CF优选IP 361ms
104.25.66.73:2083#CF优选IP 361ms
104.25.13.168:2083#CF优选IP 361ms
104.21.198.172:2083#CF优选IP 361ms
104.25.8.16:2083#CF优选IP 361ms
162.159.45.164:2083#CF优选IP 361ms
104.18.196.17:2083#CF优选IP 361ms
104.19.193.167:2083#CF优选IP 361ms
104.19.242.50:2083#CF优选IP 361ms
104.25.5.66:2083#CF优选IP 361ms
162.159.8.231:2083#CF优选IP 361ms
104.19.28.50:2083#CF优选IP 361ms
104.19.16.92:2083#CF优选IP 361ms
104.17.38.194:2083#CF优选IP 361ms
162.159.50.121:2083#CF优选IP 361ms
104.19.23.112:2083#CF优选IP 361ms
104.19.181.61:2083#CF优选IP 361ms
104.25.143.19:2083#CF优选IP 361ms
104.25.63.0:2083#CF优选IP 362ms
104.27.72.25:2083#CF优选IP 362ms
104.24.182.116:2083#CF优选IP 362ms
104.21.47.110:2083#CF优选IP 362ms
104.27.117.153:2083#CF优选IP 362ms
162.159.51.231:2083#CF优选IP 362ms
172.67.250.35:2083#CF优选IP 362ms
104.21.44.110:2083#CF优选IP 362ms
104.24.178.107:2083#CF优选IP 362ms
104.25.36.77:2083#CF优选IP 362ms
172.67.185.3:2083#CF优选IP 362ms
162.159.4.195:2083#CF优选IP 362ms
104.19.6.47:2083#CF优选IP 362ms
104.19.31.148:2083#CF优选IP 362ms
104.24.167.108:2083#CF优选IP 362ms
104.25.115.195:2083#CF优选IP 362ms
104.21.78.146:2083#CF优选IP 362ms
104.24.14.101:2083#CF优选IP 362ms
104.24.68.113:2083#CF优选IP 362ms
104.18.36.50:2083#CF优选IP 362ms
104.16.167.7:2083#CF优选IP 363ms
104.25.185.93:2083#CF优选IP 363ms
172.67.125.245:2083#CF优选IP 363ms
104.24.51.229:2083#CF优选IP 363ms
104.17.77.12:2083#CF优选IP 363ms
104.21.49.121:2083#CF优选IP 363ms
104.25.136.191:2083#CF优选IP 363ms
104.25.203.169:2083#CF优选IP 363ms
104.21.74.122:2083#CF优选IP 363ms
104.22.13.50:2083#CF优选IP 363ms
172.67.190.98:2083#CF优选IP 363ms
162.159.1.74:2083#CF优选IP 363ms
104.16.239.11:2083#CF优选IP 363ms
104.21.199.111:2083#CF优选IP 363ms
104.24.185.137:2083#CF优选IP 364ms
104.16.181.194:2083#CF优选IP 364ms
104.18.212.246:2083#CF优选IP 364ms
104.19.80.209:2083#CF优选IP 364ms
104.19.117.68:2083#CF优选IP 364ms
104.19.117.183:2083#CF优选IP 364ms
104.25.175.159:2083#CF优选IP 364ms
104.16.88.85:2083#CF优选IP 364ms
104.25.73.200:2083#CF优选IP 364ms
104.18.133.78:2083#CF优选IP 364ms
104.19.6.98:2083#CF优选IP 364ms
104.21.2.23:2083#CF优选IP 364ms
104.25.123.161:2083#CF优选IP 364ms
104.25.20.75:2083#CF优选IP 364ms
104.25.137.171:2083#CF优选IP 364ms
104.19.105.179:2083#CF优选IP 364ms
104.25.194.74:2083#CF优选IP 364ms
104.25.90.33:2083#CF优选IP 364ms
104.27.63.252:2083#CF优选IP 364ms
172.67.56.33:2083#CF优选IP 364ms
104.16.239.147:2083#CF优选IP 364ms
104.21.217.99:2083#CF优选IP 364ms
172.67.37.204:2083#CF优选IP 364ms
172.67.22.212:2083#CF优选IP 364ms
104.16.73.146:2083#CF优选IP 364ms
172.66.214.73:2083#CF优选IP 365ms
104.19.29.24:2083#CF优选IP 365ms
172.67.101.211:2083#CF优选IP 365ms
104.18.139.36:2083#CF优选IP 365ms
104.24.222.205:2083#CF优选IP 365ms
104.25.218.157:2083#CF优选IP 365ms
104.25.132.9:2083#CF优选IP 365ms
104.16.191.214:2083#CF优选IP 365ms
104.24.87.245:2083#CF优选IP 365ms
172.66.197.36:2083#CF优选IP 365ms
104.19.64.223:2083#CF优选IP 365ms
172.67.109.220:2083#CF优选IP 365ms
162.159.20.126:2083#CF优选IP 365ms
104.16.126.87:2083#CF优选IP 365ms
104.25.178.103:2083#CF优选IP 365ms
172.67.105.157:2083#CF优选IP 365ms
162.159.50.113:2083#CF优选IP 365ms
162.159.41.111:2083#CF优选IP 365ms
104.19.0.184:2083#CF优选IP 365ms
104.25.236.209:2083#CF优选IP 365ms
104.27.38.159:2083#CF优选IP 365ms
104.22.3.1:2083#CF优选IP 365ms
104.21.126.14:2083#CF优选IP 366ms
172.66.213.199:2083#CF优选IP 366ms
104.27.113.239:2083#CF优选IP 366ms
104.24.41.147:2083#CF优选IP 366ms
104.21.12.242:2083#CF优选IP 366ms
172.67.17.79:2083#CF优选IP 366ms
104.21.86.51:2083#CF优选IP 366ms
104.21.83.28:2083#CF优选IP 366ms
104.24.34.195:2083#CF优选IP 366ms
104.24.10.43:2083#CF优选IP 366ms
104.16.90.250:2083#CF优选IP 366ms
172.67.96.102:2083#CF优选IP 366ms
104.21.56.64:2083#CF优选IP 366ms
172.67.35.65:2083#CF优选IP 366ms
104.19.118.153:2083#CF优选IP 366ms
104.19.249.20:2083#CF优选IP 366ms
104.19.22.135:2083#CF优选IP 367ms
104.24.56.236:2083#CF优选IP 367ms
104.25.41.49:2083#CF优选IP 367ms
104.25.231.108:2083#CF优选IP 367ms
104.27.20.37:2083#CF优选IP 367ms
104.25.59.137:2083#CF优选IP 367ms
104.25.60.131:2083#CF优选IP 367ms
104.19.76.99:2083#CF优选IP 367ms
104.27.60.101:2083#CF优选IP 367ms
104.25.147.212:2083#CF优选IP 367ms
104.25.49.4:2083#CF优选IP 367ms
172.66.157.73:2083#CF优选IP 368ms
172.67.240.148:2083#CF优选IP 368ms
104.21.15.94:2083#CF优选IP 368ms
104.19.31.212:2083#CF优选IP 368ms
104.22.30.25:2083#CF优选IP 368ms
104.22.7.166:2083#CF优选IP 368ms
104.27.122.83:2083#CF优选IP 368ms
172.67.253.97:2083#CF优选IP 368ms
162.159.39.0:2083#CF优选IP 368ms
104.24.129.29:2083#CF优选IP 368ms
104.24.165.53:2083#CF优选IP 368ms
104.25.73.163:2083#CF优选IP 368ms
104.19.204.232:2083#CF优选IP 368ms
104.24.156.59:2083#CF优选IP 369ms
104.27.8.187:2083#CF优选IP 369ms
104.27.203.34:2083#CF优选IP 369ms
104.21.1.206:2083#CF优选IP 369ms
104.25.199.242:2083#CF优选IP 369ms
104.19.124.245:2083#CF优选IP 369ms
104.24.78.19:2083#CF优选IP 369ms
172.67.27.100:2083#CF优选IP 369ms
104.25.185.17:2083#CF优选IP 369ms
104.24.193.69:2083#CF优选IP 369ms
104.27.76.71:2083#CF优选IP 369ms
104.24.185.203:2083#CF优选IP 369ms
104.24.202.111:2083#CF优选IP 370ms
104.25.163.183:2083#CF优选IP 370ms
104.19.196.163:2083#CF优选IP 370ms
162.159.253.58:2083#CF优选IP 370ms
104.25.75.164:2083#CF优选IP 370ms
172.67.235.250:2083#CF优选IP 370ms
162.159.244.64:2083#CF优选IP 370ms
162.159.21.17:2083#CF优选IP 370ms
104.21.15.65:2083#CF优选IP 371ms
104.19.200.230:2083#CF优选IP 371ms
104.24.173.252:2083#CF优选IP 371ms
104.24.232.215:2083#CF优选IP 371ms
104.25.209.84:2083#CF优选IP 371ms
162.159.50.194:2083#CF优选IP 371ms
104.25.13.251:2083#CF优选IP 372ms
172.66.145.150:2083#CF优选IP 372ms
104.25.137.225:2083#CF优选IP 372ms
104.27.62.118:2083#CF优选IP 372ms
172.66.136.205:2083#CF优选IP 372ms
172.67.17.185:2083#CF优选IP 372ms
172.67.189.36:2083#CF优选IP 372ms
104.27.48.8:2083#CF优选IP 372ms
104.27.69.168:2083#CF优选IP 373ms
162.159.250.245:2083#CF优选IP 373ms
104.24.143.72:2083#CF优选IP 373ms
104.27.111.227:2083#CF优选IP 373ms
104.27.70.15:2083#CF优选IP 373ms
104.19.91.162:2083#CF优选IP 373ms
104.21.223.210:2083#CF优选IP 373ms
104.27.125.86:2083#CF优选IP 374ms
104.27.16.32:2083#CF优选IP 375ms
104.25.199.98:2083#CF优选IP 375ms
104.19.124.71:2083#CF优选IP 375ms
172.67.243.144:2083#CF优选IP 376ms
104.16.192.95:2083#CF优选IP 376ms
104.19.196.68:2083#CF优选IP 376ms
104.24.180.23:2083#CF优选IP 377ms
104.16.117.93:2083#CF优选IP 378ms
104.25.65.219:2083#CF优选IP 380ms
104.19.198.70:2083#CF优选IP 380ms
104.19.132.207:2083#CF优选IP 381ms
104.24.60.120:2083#CF优选IP 381ms
104.24.69.245:2083#CF优选IP 383ms
104.19.131.85:2083#CF优选IP 384ms
104.25.52.85:2083#CF优选IP 386ms
104.27.61.38:2083#CF优选IP 388ms
104.19.132.37:2083#CF优选IP 399ms
104.16.107.205:2083#CF优选IP 441ms
104.18.30.60:2083#CF优选IP 445ms
104.18.16.231:2083#CF优选IP 446ms
104.22.74.114:2083#CF优选IP 447ms
104.19.234.222:2083#CF优选IP 447ms
104.16.128.100:2083#CF优选IP 448ms
